id,date,store_nbr,family,sales,onpromotion
2951025,2017-07-19,10,AUTOMOTIVE,0.0,0
2951026,2017-07-19,10,BABY CARE,0.0,0
2951027,2017-07-19,10,BEAUTY,2.0,0
2951028,2017-07-19,10,BEVERAGES,957.0,24
2951029,2017-07-19,10,BOOKS,0.0,0
2951030,2017-07-19,10,BREAD/BAKERY,79.0,7
2951031,2017-07-19,10,CELEBRATION,0.0,0
2951032,2017-07-19,10,CLEANING,593.0,11
2951033,2017-07-19,10,DAIRY,413.0,75
2951034,2017-07-19,10,DELI,174.0,7
2951035,2017-07-19,10,EGGS,35.0,2
2951036,2017-07-19,10,FROZEN FOODS,33.0,0
2951037,2017-07-19,10,GROCERY I,2080.0,45
2951038,2017-07-19,10,GROCERY II,2.0,0
2951039,2017-07-19,10,HARDWARE,0.0,0
2951040,2017-07-19,10,HOME AND KITCHEN I,5.0,1
2951041,2017-07-19,10,HOME AND KITCHEN II,5.0,0
2951042,2017-07-19,10,HOME APPLIANCES,1.0,0
2951043,2017-07-19,10,HOME CARE,161.0,10
2951044,2017-07-19,10,LADIESWEAR,3.0,0
2951045,2017-07-19,10,LAWN AND GARDEN,0.0,0
2951046,2017-07-19,10,LINGERIE,5.0,0
2951047,2017-07-19,10,"LIQUOR,WINE,BEER",6.0,0
2951048,2017-07-19,10,MAGAZINES,0.0,0
2951049,2017-07-19,10,MEATS,171.55501,0
2951050,2017-07-19,10,PERSONAL CARE,161.0,5
2951051,2017-07-19,10,PET SUPPLIES,0.0,0
2951052,2017-07-19,10,PLAYERS AND ELECTRONICS,4.0,0
2951053,2017-07-19,10,POULTRY,155.657,0
2951054,2017-07-19,10,PREPARED FOODS,24.0,0
2951055,2017-07-19,10,PRODUCE,236.462,13
2951056,2017-07-19,10,SCHOOL AND OFFICE SUPPLIES,0.0,0
2951057,2017-07-19,10,SEAFOOD,5.0,1
2951058,2017-07-19,11,AUTOMOTIVE,6.0,0
2951059,2017-07-19,11,BABY CARE,0.0,0
2951060,2017-07-19,11,BEAUTY,6.0,1
2951061,2017-07-19,11,BEVERAGES,3170.0,41
2951062,2017-07-19,11,BOOKS,0.0,0
2951063,2017-07-19,11,BREAD/BAKERY,712.0,13
2951064,2017-07-19,11,CELEBRATION,20.0,0
2951065,2017-07-19,11,CLEANING,1814.0,22
2951066,2017-07-19,11,DAIRY,602.0,127
2951067,2017-07-19,11,DELI,352.778,13
2951068,2017-07-19,11,EGGS,227.0,3
2951069,2017-07-19,11,FROZEN FOODS,70.502,0
2951070,2017-07-19,11,GROCERY I,6588.984,68
2951071,2017-07-19,11,GROCERY II,14.0,0
2951072,2017-07-19,11,HARDWARE,1.0,0
2951073,2017-07-19,11,HOME AND KITCHEN I,22.0,3
2951074,2017-07-19,11,HOME AND KITCHEN II,18.0,0
2951075,2017-07-19,11,HOME APPLIANCES,0.0,0
2951076,2017-07-19,11,HOME CARE,462.0,14
2951077,2017-07-19,11,LADIESWEAR,13.0,0
2951078,2017-07-19,11,LAWN AND GARDEN,2.0,0
2951079,2017-07-19,11,LINGERIE,3.0,0
2951080,2017-07-19,11,"LIQUOR,WINE,BEER",37.0,0
2951081,2017-07-19,11,MAGAZINES,4.0,0
2951082,2017-07-19,11,MEATS,559.193,0
2951083,2017-07-19,11,PERSONAL CARE,328.0,7
2951084,2017-07-19,11,PET SUPPLIES,1.0,0
2951085,2017-07-19,11,PLAYERS AND ELECTRONICS,15.0,0
2951086,2017-07-19,11,POULTRY,395.125,0
2951087,2017-07-19,11,PREPARED FOODS,97.757,0
2951088,2017-07-19,11,PRODUCE,1377.959,18
2951089,2017-07-19,11,SCHOOL AND OFFICE SUPPLIES,1.0,0
2951090,2017-07-19,11,SEAFOOD,5.0,1
2951091,2017-07-19,12,AUTOMOTIVE,3.0,0
2951092,2017-07-19,12,BABY CARE,0.0,0
2951093,2017-07-19,12,BEAUTY,0.0,0
2951094,2017-07-19,12,BEVERAGES,1491.0,28
2951095,2017-07-19,12,BOOKS,0.0,0
2951096,2017-07-19,12,BREAD/BAKERY,176.0,10
2951097,2017-07-19,12,CELEBRATION,4.0,0
2951098,2017-07-19,12,CLEANING,637.0,13
2951099,2017-07-19,12,DAIRY,650.0,106
2951100,2017-07-19,12,DELI,204.0,10
2951101,2017-07-19,12,EGGS,31.0,2
2951102,2017-07-19,12,FROZEN FOODS,26.0,0
2951103,2017-07-19,12,GROCERY I,2665.0,47
2951104,2017-07-19,12,GROCERY II,10.0,0
2951105,2017-07-19,12,HARDWARE,0.0,0
2951106,2017-07-19,12,HOME AND KITCHEN I,21.0,7
2951107,2017-07-19,12,HOME AND KITCHEN II,18.0,0
2951108,2017-07-19,12,HOME APPLIANCES,0.0,0
2951109,2017-07-19,12,HOME CARE,158.0,12
2951110,2017-07-19,12,LADIESWEAR,7.0,0
2951111,2017-07-19,12,LAWN AND GARDEN,0.0,0
2951112,2017-07-19,12,LINGERIE,4.0,0
2951113,2017-07-19,12,"LIQUOR,WINE,BEER",19.0,0
2951114,2017-07-19,12,MAGAZINES,2.0,0
2951115,2017-07-19,12,MEATS,170.471,0
2951116,2017-07-19,12,PERSONAL CARE,153.0,7
2951117,2017-07-19,12,PET SUPPLIES,2.0,0
2951118,2017-07-19,12,PLAYERS AND ELECTRONICS,8.0,0
2951119,2017-07-19,12,POULTRY,188.127,0
2951120,2017-07-19,12,PREPARED FOODS,59.0,0
2951121,2017-07-19,12,PRODUCE,403.635,12
2951122,2017-07-19,12,SCHOOL AND OFFICE SUPPLIES,0.0,0
2951123,2017-07-19,12,SEAFOOD,3.0,1
2951124,2017-07-19,13,AUTOMOTIVE,4.0,0
2951125,2017-07-19,13,BABY CARE,0.0,0
2951126,2017-07-19,13,BEAUTY,2.0,0
2951127,2017-07-19,13,BEVERAGES,1154.0,16
2951128,2017-07-19,13,BOOKS,0.0,0
2951129,2017-07-19,13,BREAD/BAKERY,97.0,10
2951130,2017-07-19,13,CELEBRATION,6.0,0
2951131,2017-07-19,13,CLEANING,412.0,13
2951132,2017-07-19,13,DAIRY,243.0,70
2951133,2017-07-19,13,DELI,154.0,7
2951134,2017-07-19,13,EGGS,162.0,2
2951135,2017-07-19,13,FROZEN FOODS,20.0,0
2951136,2017-07-19,13,GROCERY I,2037.0,40
2951137,2017-07-19,13,GROCERY II,17.0,0
2951138,2017-07-19,13,HARDWARE,0.0,0
2951139,2017-07-19,13,HOME AND KITCHEN I,6.0,2
2951140,2017-07-19,13,HOME AND KITCHEN II,10.0,0
2951141,2017-07-19,13,HOME APPLIANCES,0.0,0
2951142,2017-07-19,13,HOME CARE,127.0,10
2951143,2017-07-19,13,LADIESWEAR,0.0,0
2951144,2017-07-19,13,LAWN AND GARDEN,0.0,0
2951145,2017-07-19,13,LINGERIE,6.0,0
2951146,2017-07-19,13,"LIQUOR,WINE,BEER",38.0,0
2951147,2017-07-19,13,MAGAZINES,0.0,0
2951148,2017-07-19,13,MEATS,146.784,0
2951149,2017-07-19,13,PERSONAL CARE,125.0,4
2951150,2017-07-19,13,PET SUPPLIES,0.0,0
2951151,2017-07-19,13,PLAYERS AND ELECTRONICS,3.0,0
2951152,2017-07-19,13,POULTRY,71.682,0
2951153,2017-07-19,13,PREPARED FOODS,16.0,0
2951154,2017-07-19,13,PRODUCE,189.66699,10
2951155,2017-07-19,13,SCHOOL AND OFFICE SUPPLIES,0.0,0
2951156,2017-07-19,13,SEAFOOD,4.0,1
2951157,2017-07-19,14,AUTOMOTIVE,3.0,0
2951158,2017-07-19,14,BABY CARE,0.0,0
2951159,2017-07-19,14,BEAUTY,2.0,0
2951160,2017-07-19,14,BEVERAGES,1242.0,20
2951161,2017-07-19,14,BOOKS,0.0,0
2951162,2017-07-19,14,BREAD/BAKERY,143.0,7
2951163,2017-07-19,14,CELEBRATION,5.0,0
2951164,2017-07-19,14,CLEANING,751.0,14
2951165,2017-07-19,14,DAIRY,426.0,81
2951166,2017-07-19,14,DELI,184.0,5
2951167,2017-07-19,14,EGGS,61.0,2
2951168,2017-07-19,14,FROZEN FOODS,20.0,0
2951169,2017-07-19,14,GROCERY I,2215.0,46
2951170,2017-07-19,14,GROCERY II,30.0,0
2951171,2017-07-19,14,HARDWARE,0.0,0
2951172,2017-07-19,14,HOME AND KITCHEN I,18.0,0
2951173,2017-07-19,14,HOME AND KITCHEN II,13.0,0
2951174,2017-07-19,14,HOME APPLIANCES,0.0,0
2951175,2017-07-19,14,HOME CARE,141.0,8
2951176,2017-07-19,14,LADIESWEAR,1.0,0
2951177,2017-07-19,14,LAWN AND GARDEN,0.0,0
2951178,2017-07-19,14,LINGERIE,2.0,0
2951179,2017-07-19,14,"LIQUOR,WINE,BEER",31.0,0
2951180,2017-07-19,14,MAGAZINES,2.0,0
2951181,2017-07-19,14,MEATS,136.712,0
2951182,2017-07-19,14,PERSONAL CARE,220.0,4
2951183,2017-07-19,14,PET SUPPLIES,0.0,0
2951184,2017-07-19,14,PLAYERS AND ELECTRONICS,4.0,0
2951185,2017-07-19,14,POULTRY,120.427,0
2951186,2017-07-19,14,PREPARED FOODS,61.0,0
2951187,2017-07-19,14,PRODUCE,329.249,11
2951188,2017-07-19,14,SCHOOL AND OFFICE SUPPLIES,0.0,0
2951189,2017-07-19,14,SEAFOOD,2.0,1
2951190,2017-07-19,15,AUTOMOTIVE,3.0,0
2951191,2017-07-19,15,BABY CARE,4.0,0
2951192,2017-07-19,15,BEAUTY,3.0,0
2951193,2017-07-19,15,BEVERAGES,1602.0,27
2951194,2017-07-19,15,BOOKS,0.0,0
2951195,2017-07-19,15,BREAD/BAKERY,111.0,13
2951196,2017-07-19,15,CELEBRATION,1.0,0
2951197,2017-07-19,15,CLEANING,723.0,16
2951198,2017-07-19,15,DAIRY,364.0,98
2951199,2017-07-19,15,DELI,241.0,8
2951200,2017-07-19,15,EGGS,66.0,3
2951201,2017-07-19,15,FROZEN FOODS,48.0,0
2951202,2017-07-19,15,GROCERY I,2750.0,50
2951203,2017-07-19,15,GROCERY II,4.0,0
2951204,2017-07-19,15,HARDWARE,0.0,0
2951205,2017-07-19,15,HOME AND KITCHEN I,16.0,3
2951206,2017-07-19,15,HOME AND KITCHEN II,12.0,0
2951207,2017-07-19,15,HOME APPLIANCES,0.0,0
2951208,2017-07-19,15,HOME CARE,180.0,9
2951209,2017-07-19,15,LADIESWEAR,12.0,0
2951210,2017-07-19,15,LAWN AND GARDEN,0.0,0
2951211,2017-07-19,15,LINGERIE,7.0,0
2951212,2017-07-19,15,"LIQUOR,WINE,BEER",18.0,0
2951213,2017-07-19,15,MAGAZINES,1.0,0
2951214,2017-07-19,15,MEATS,149.494,0
2951215,2017-07-19,15,PERSONAL CARE,146.0,5
2951216,2017-07-19,15,PET SUPPLIES,2.0,0
2951217,2017-07-19,15,PLAYERS AND ELECTRONICS,12.0,0
2951218,2017-07-19,15,POULTRY,93.89,0
2951219,2017-07-19,15,PREPARED FOODS,51.0,0
2951220,2017-07-19,15,PRODUCE,665.253,16
2951221,2017-07-19,15,SCHOOL AND OFFICE SUPPLIES,0.0,0
2951222,2017-07-19,15,SEAFOOD,6.0,1
2951223,2017-07-19,16,AUTOMOTIVE,3.0,0
2951224,2017-07-19,16,BABY CARE,0.0,0
2951225,2017-07-19,16,BEAUTY,0.0,0
2951226,2017-07-19,16,BEVERAGES,877.0,25
2951227,2017-07-19,16,BOOKS,0.0,0
2951228,2017-07-19,16,BREAD/BAKERY,135.0,8
2951229,2017-07-19,16,CELEBRATION,5.0,0
2951230,2017-07-19,16,CLEANING,497.0,14
2951231,2017-07-19,16,DAIRY,214.0,79
2951232,2017-07-19,16,DELI,156.0,10
2951233,2017-07-19,16,EGGS,165.0,2
2951234,2017-07-19,16,FROZEN FOODS,26.0,0
2951235,2017-07-19,16,GROCERY I,1494.0,49
2951236,2017-07-19,16,GROCERY II,8.0,0
2951237,2017-07-19,16,HARDWARE,3.0,0
2951238,2017-07-19,16,HOME AND KITCHEN I,15.0,3
2951239,2017-07-19,16,HOME AND KITCHEN II,22.0,0
2951240,2017-07-19,16,HOME APPLIANCES,0.0,0
2951241,2017-07-19,16,HOME CARE,126.0,10
2951242,2017-07-19,16,LADIESWEAR,0.0,0
2951243,2017-07-19,16,LAWN AND GARDEN,0.0,0
2951244,2017-07-19,16,LINGERIE,3.0,0
2951245,2017-07-19,16,"LIQUOR,WINE,BEER",35.0,1
2951246,2017-07-19,16,MAGAZINES,0.0,0
2951247,2017-07-19,16,MEATS,56.173,0
2951248,2017-07-19,16,PERSONAL CARE,104.0,2
2951249,2017-07-19,16,PET SUPPLIES,0.0,0
2951250,2017-07-19,16,PLAYERS AND ELECTRONICS,1.0,0
2951251,2017-07-19,16,POULTRY,79.468,0
2951252,2017-07-19,16,PREPARED FOODS,29.0,0
2951253,2017-07-19,16,PRODUCE,432.492,13
2951254,2017-07-19,16,SCHOOL AND OFFICE SUPPLIES,0.0,0
2951255,2017-07-19,16,SEAFOOD,0.0,0
2951256,2017-07-19,17,AUTOMOTIVE,5.0,0
2951257,2017-07-19,17,BABY CARE,0.0,0
2951258,2017-07-19,17,BEAUTY,3.0,0
2951259,2017-07-19,17,BEVERAGES,2638.0,29
2951260,2017-07-19,17,BOOKS,0.0,0
2951261,2017-07-19,17,BREAD/BAKERY,320.0,10
2951262,2017-07-19,17,CELEBRATION,6.0,0
2951263,2017-07-19,17,CLEANING,943.0,15
2951264,2017-07-19,17,DAIRY,1062.0,129
2951265,2017-07-19,17,DELI,407.0,13
2951266,2017-07-19,17,EGGS,152.0,2
2951267,2017-07-19,17,FROZEN FOODS,100.0,0
2951268,2017-07-19,17,GROCERY I,4398.0,59
2951269,2017-07-19,17,GROCERY II,10.0,0
2951270,2017-07-19,17,HARDWARE,0.0,0
2951271,2017-07-19,17,HOME AND KITCHEN I,17.0,2
2951272,2017-07-19,17,HOME AND KITCHEN II,17.0,0
2951273,2017-07-19,17,HOME APPLIANCES,0.0,0
2951274,2017-07-19,17,HOME CARE,250.0,10
2951275,2017-07-19,17,LADIESWEAR,1.0,0
2951276,2017-07-19,17,LAWN AND GARDEN,0.0,0
2951277,2017-07-19,17,LINGERIE,9.0,0
2951278,2017-07-19,17,"LIQUOR,WINE,BEER",12.0,0
2951279,2017-07-19,17,MAGAZINES,0.0,0
2951280,2017-07-19,17,MEATS,245.823,0
2951281,2017-07-19,17,PERSONAL CARE,223.0,6
2951282,2017-07-19,17,PET SUPPLIES,4.0,0
2951283,2017-07-19,17,PLAYERS AND ELECTRONICS,4.0,0
2951284,2017-07-19,17,POULTRY,270.135,0
2951285,2017-07-19,17,PREPARED FOODS,52.0,0
2951286,2017-07-19,17,PRODUCE,1073.045,15
2951287,2017-07-19,17,SCHOOL AND OFFICE SUPPLIES,0.0,0
2951288,2017-07-19,17,SEAFOOD,8.0,1
2951289,2017-07-19,18,AUTOMOTIVE,2.0,0
2951290,2017-07-19,18,BABY CARE,1.0,0
2951291,2017-07-19,18,BEAUTY,2.0,0
2951292,2017-07-19,18,BEVERAGES,1923.0,31
2951293,2017-07-19,18,BOOKS,0.0,0
2951294,2017-07-19,18,BREAD/BAKERY,519.0,12
2951295,2017-07-19,18,CELEBRATION,1.0,0
2951296,2017-07-19,18,CLEANING,428.0,13
2951297,2017-07-19,18,DAIRY,668.0,147
2951298,2017-07-19,18,DELI,154.921,10
2951299,2017-07-19,18,EGGS,111.0,2
2951300,2017-07-19,18,FROZEN FOODS,34.0,0
2951301,2017-07-19,18,GROCERY I,2037.406,55
2951302,2017-07-19,18,GROCERY II,5.0,0
2951303,2017-07-19,18,HARDWARE,1.0,0
2951304,2017-07-19,18,HOME AND KITCHEN I,8.0,1
2951305,2017-07-19,18,HOME AND KITCHEN II,9.0,0
2951306,2017-07-19,18,HOME APPLIANCES,0.0,0
2951307,2017-07-19,18,HOME CARE,139.0,11
2951308,2017-07-19,18,LADIESWEAR,8.0,0
2951309,2017-07-19,18,LAWN AND GARDEN,2.0,0
2951310,2017-07-19,18,LINGERIE,9.0,0
2951311,2017-07-19,18,"LIQUOR,WINE,BEER",28.0,2
2951312,2017-07-19,18,MAGAZINES,4.0,0
2951313,2017-07-19,18,MEATS,67.197,0
2951314,2017-07-19,18,PERSONAL CARE,107.0,6
2951315,2017-07-19,18,PET SUPPLIES,2.0,0
2951316,2017-07-19,18,PLAYERS AND ELECTRONICS,1.0,0
2951317,2017-07-19,18,POULTRY,148.571,0
2951318,2017-07-19,18,PREPARED FOODS,69.597,0
2951319,2017-07-19,18,PRODUCE,1175.171,15
2951320,2017-07-19,18,SCHOOL AND OFFICE SUPPLIES,0.0,0
2951321,2017-07-19,18,SEAFOOD,10.915,1
2951322,2017-07-19,19,AUTOMOTIVE,3.0,0
2951323,2017-07-19,19,BABY CARE,1.0,0
2951324,2017-07-19,19,BEAUTY,2.0,0
2951325,2017-07-19,19,BEVERAGES,1901.0,24
2951326,2017-07-19,19,BOOKS,0.0,0
2951327,2017-07-19,19,BREAD/BAKERY,136.0,10
2951328,2017-07-19,19,CELEBRATION,9.0,0
2951329,2017-07-19,19,CLEANING,591.0,16
2951330,2017-07-19,19,DAIRY,314.0,85
2951331,2017-07-19,19,DELI,308.0,9
2951332,2017-07-19,19,EGGS,21.0,1
2951333,2017-07-19,19,FROZEN FOODS,29.0,0
2951334,2017-07-19,19,GROCERY I,2624.0,50
2951335,2017-07-19,19,GROCERY II,36.0,0
2951336,2017-07-19,19,HARDWARE,0.0,0
2951337,2017-07-19,19,HOME AND KITCHEN I,6.0,2
2951338,2017-07-19,19,HOME AND KITCHEN II,12.0,0
2951339,2017-07-19,19,HOME APPLIANCES,0.0,0
2951340,2017-07-19,19,HOME CARE,127.0,12
2951341,2017-07-19,19,LADIESWEAR,4.0,0
2951342,2017-07-19,19,LAWN AND GARDEN,0.0,0
2951343,2017-07-19,19,LINGERIE,2.0,0
2951344,2017-07-19,19,"LIQUOR,WINE,BEER",19.0,0
2951345,2017-07-19,19,MAGAZINES,3.0,0
2951346,2017-07-19,19,MEATS,96.434,0
2951347,2017-07-19,19,PERSONAL CARE,98.0,7
2951348,2017-07-19,19,PET SUPPLIES,0.0,0
2951349,2017-07-19,19,PLAYERS AND ELECTRONICS,2.0,0
2951350,2017-07-19,19,POULTRY,69.946,0
2951351,2017-07-19,19,PREPARED FOODS,28.0,0
2951352,2017-07-19,19,PRODUCE,349.557,11
2951353,2017-07-19,19,SCHOOL AND OFFICE SUPPLIES,0.0,0
2951354,2017-07-19,19,SEAFOOD,2.0,1
2951355,2017-07-19,2,AUTOMOTIVE,3.0,0
2951356,2017-07-19,2,BABY CARE,0.0,0
2951357,2017-07-19,2,BEAUTY,2.0,1
2951358,2017-07-19,2,BEVERAGES,2953.0,51
2951359,2017-07-19,2,BOOKS,0.0,0
2951360,2017-07-19,2,BREAD/BAKERY,611.0,0
2951361,2017-07-19,2,CELEBRATION,24.0,0
2951362,2017-07-19,2,CLEANING,1019.0,23
2951363,2017-07-19,2,DAIRY,765.0,19
2951364,2017-07-19,2,DELI,198.007,16
2951365,2017-07-19,2,EGGS,137.0,0
2951366,2017-07-19,2,FROZEN FOODS,99.0,1
2951367,2017-07-19,2,GROCERY I,3981.0,80
2951368,2017-07-19,2,GROCERY II,60.0,1
2951369,2017-07-19,2,HARDWARE,0.0,0
2951370,2017-07-19,2,HOME AND KITCHEN I,19.0,4
2951371,2017-07-19,2,HOME AND KITCHEN II,16.0,1
2951372,2017-07-19,2,HOME APPLIANCES,0.0,0
2951373,2017-07-19,2,HOME CARE,285.0,15
2951374,2017-07-19,2,LADIESWEAR,21.0,0
2951375,2017-07-19,2,LAWN AND GARDEN,9.0,6
2951376,2017-07-19,2,LINGERIE,2.0,0
2951377,2017-07-19,2,"LIQUOR,WINE,BEER",54.0,3
2951378,2017-07-19,2,MAGAZINES,8.0,0
2951379,2017-07-19,2,MEATS,328.6,0
2951380,2017-07-19,2,PERSONAL CARE,243.0,6
2951381,2017-07-19,2,PET SUPPLIES,7.0,0
2951382,2017-07-19,2,PLAYERS AND ELECTRONICS,4.0,0
